VALUE,HEIGHT,LEFT,RIGHT,AGE,NATIONALITY,GOAL,ASSIST,MINUTES,SCORINGABILITY,PASS,TACKLE,DRIBBLE,SAVE,CLEANSHEET
4000000,178,0,1,23,0,0.04,0.04,2099,0.09999999999999998,71.2,22,53.8,0.0,0.0
4000000,188,0,1,22,1,0.06,0.13,1429,-2.2,67.9,5,59.1,0.0,0.0
4000000,183,0,1,25,0,0.0,0.07,1293,-0.3,80.7,14,55.2,0.0,0.0
4000000,172,1,0,23,0,0.0,0.03,2663,-1.3,71.2,38,40.0,0.0,0.0
1000000,188,0,1,25,1,0.08,0.0,2121,1.3,79.5,16,100.0,0.0,0.0
2000000,183,0,1,30,1,0.0,0.0,786,0.0,80.7,17,75.0,0.0,0.0
1000000,183,1,0,33,0,0.0,0.0,1967,-2.0,73.4,38,66.7,0.0,0.0
1000000,185,0,1,27,1,0.0,0.0,96,-0.2,62.9,2,50.0,0.0,0.0
5000000,191,0,1,29,0,0.36,0.06,2782,0.5,54.4,16,48.0,0.0,0.0
7000000,185,0,1,29,0,0.03,0.07,2654,0.19999999999999996,75.4,17,60.0,0.0,0.0
80000,180,0,1,17,0,0.0,0.0,90,0.0,60.0,3,0.0,0.0,0.0
45000,180,1,0,21,1,0.0,0.0,22,0.0,60.0,0,100.0,0.0,0.0
4000000,185,0,1,25,1,0.08,0.08,1197,0.4,80.0,13,66.7,0.0,0.0
10000,187,0,0,19,1,0.0,0.0,152,0.0,86.8,5,75.0,0.0,0.0
65000,181,1,0,22,0,0.0,0.0,852,-0.6,71.3,6,36.4,0.0,0.0
11000000,193,0,1,25,1,0.0,0.0,90,0.0,63.6,0,0.0,0.0,0.0
1600000,187,0,1,29,0,0.1,0.0,864,0.5,68.0,8,70.6,0.0,0.0
2000000,176,0,1,29,0,0.0,0.0,1903,-0.4,75.8,27,66.7,0.0,0.0
14000000,186,1,0,27,0,0.0,0.0,2358,0.0,57.9,0,0.0,0.685,22.2
12000000,180,1,0,30,0,0.4,0.18,2496,1.0999999999999996,63.5,10,45.7,0.0,0.0
1500000,185,0,1,31,0,0.07,0.0,1344,0.09999999999999998,79.8,21,90.0,0.0,0.0
3500000,177,0,1,26,0,0.08,0.08,1088,0.8,74.1,20,26.7,0.0,0.0
2000000,176,1,0,25,0,0.0,0.0,1634,-0.5,70.2,14,54.5,0.0,0.0
800,192,0,1,33,0,0.0,0.0,790,0.0,51.3,1,0.0,0.686,0.0
30000,174,0,1,18,0,0.16,0.0,573,-0.30000000000000004,72.3,11,40.7,0.0,0.0
